field_code,field_name,esg_bucket
SB042,On Time Performance Rate Percentage,ES
SB043,Mishandling Baggage Rate Percentage,ES
SB046,Deforestation free Supply Chain Target Year,ES
SB047,No Net Loss Biodiversity Commitment Policy,ES
SB049,High Carbon Stock Protection Policy,ES
SB055,No Conversion or Degradation Policy,ES
SB057,Biodiversity Risks and Opportunities Discussed,ES
SB059,"Animal Feed From Sustainable
  Sources Pct",ES
SB061,IUU Fishing Policy,ES
SB062,Sustainable Fishing Certification Disclosed,ES
SB065,Monetary Loss Corrective Actions,ES
SB066,Nondiscriminatory Mortgage Origination Policy,ES
SB067,Mortgage Loans in 100 year Flood Zones Count,ES
SB068,Mortgage Loans in 100 year Flood Zones Value,ES
SB069,Total Expected Mortgage Loss to Weather Events,ES
SB070,Mortgage Environmental Risk Policy,ES
SB071,Water Main Replacement Rate,ES
SB072,Sanitary Sewer Overflows Count,ES
SB221,GRSB or BRSL Member Indicator,ES
SB226,Certified Dairy Sourcer Indicator,ES
SB229,Palm Oil Estate RSPO Certified Percentage,ES
SB231,Palm Oil Mills RSPO Certified Percentage,ES
SB249,Forestland Managed Certified Percentage,ES
SB252,Exclusion of Highly Hazardous Pesticides Indicator,ES
ST760,DIRECTOR_SUPPORT_AVG,G
ST761,DIRECTOR_SUPPORT_MIN,G
ST762,DIRECTORS_VOTED_COUNT,G
ST763,DIRECTORS_VOTED_BELOW_90_COUNT,G
ST768,SAY_PAY_SUPPORT_LEVEL_deduced,G
ST769,SAY_ON_PAY_PROVISION_deduced,G
ST772,AUDITOR_SUPPORT_AVG_NUMERIC,G
ST773,AUDITOR_RATIFICATION_FLAG,G
XX000,CO2-Weighted Electricity Production,ES
XX001,Scope 3 Availability,ES
